symbol,date,rate
Stroke,1918,228.0
Stroke,1919,225.6
Stroke,1920,238.5
Stroke,1921,230.1
Stroke,1922,238.9
Stroke,1923,245.6
Stroke,1924,246.4
Stroke,1925,227.9
Stroke,1926,228.2
Stroke,1927,216.3
Stroke,1928,223.4
Stroke,1929,213.3
Stroke,1930,203.9
Stroke,1931,195.0
Stroke,1932,194.4
Stroke,1933,185.0
Stroke,1934,184.5
Stroke,1935,181.2
Stroke,1936,189.8
Stroke,1937,176.6
Stroke,1938,171.4
Stroke,1939,173.2
Stroke,1940,177.2
Stroke,1941,169.4
Stroke,1942,166.8
Stroke,1943,173.3
Stroke,1944,164.4
Stroke,1945,166.7
Stroke,1946,158.8
Stroke,1947,161.3
Stroke,1948,157.4
Stroke,1949,176.2
Stroke,1950,180.7
Stroke,1951,181.4
Stroke,1952,180.2
Stroke,1953,179.2
Stroke,1954,173.4
Stroke,1955,177.3
Stroke,1956,177.4
Stroke,1957,183.0
Stroke,1958,183.0
Stroke,1959,179.0
Stroke,1960,177.9
Stroke,1961,173.1
Stroke,1962,174.0
Stroke,1963,173.9
Stroke,1964,167.0
Stroke,1965,166.4
Stroke,1966,165.8
Stroke,1967,159.3
Stroke,1968,162.5
Stroke,1969,155.4
Stroke,1970,147.7
Stroke,1971,147.6
Stroke,1972,147.3
Stroke,1973,145.2
Stroke,1974,136.8
Stroke,1975,123.5
Stroke,1976,117.4
Stroke,1977,110.4
Stroke,1978,103.7
Stroke,1979,97.3
Stroke,1980,96.4
Stroke,1981,89.7
Stroke,1982,84.4
Stroke,1983,81.4
Stroke,1984,78.9
Stroke,1985,76.6
Stroke,1986,73.3
Stroke,1987,71.8
Stroke,1988,70.8
Stroke,1989,67.1
Stroke,1990,65.5
Stroke,1991,63.1
Stroke,1992,61.6
Stroke,1993,62.9
Stroke,1994,62.8
Stroke,1995,63.3
Stroke,1996,62.6
Stroke,1997,61.2
Stroke,1998,59.4
Stroke,1999,61.6
Stroke,2000,60.9
Stroke,2001,58.4
Stroke,2002,57.2
Stroke,2003,54.6
Stroke,2004,51.2
Stroke,2005,48.0
Stroke,2006,44.8
Stroke,2007,43.5
Stroke,2008,42.1
Stroke,2009,39.6
Stroke,2010,39.1
Stroke,2011,37.9
Stroke,2012,36.9
Stroke,2013,36.2
Accidents,1900,90.3
Accidents,1901,109.3
Accidents,1902,93.6
Accidents,1903,106.9
Accidents,1904,112.8
Accidents,1905,108.5
Accidents,1906,121.2
Accidents,1907,122.3
Accidents,1908,108.8
Accidents,1909,108.0
Accidents,1910,111.2
Accidents,1911,113.5
Accidents,1912,107.1
Accidents,1913,108.2
Accidents,1914,100.4
Accidents,1915,95.2
Accidents,1916,104.3
Accidents,1917,107.0
Accidents,1918,99.9
Accidents,1919,86.9
Accidents,1920,87.5
Accidents,1921,83.2
Accidents,1922,85.4
Accidents,1923,91.2
Accidents,1924,89.6
Accidents,1925,92.2
Accidents,1926,89.8
Accidents,1927,86.3
Accidents,1928,86.1
Accidents,1929,84.3
Accidents,1930,84.2
Accidents,1931,81.2
Accidents,1932,76.6
Accidents,1933,76.2
Accidents,1934,82.7
Accidents,1935,80.8
Accidents,1936,92.4
Accidents,1937,81.8
Accidents,1938,76.5
Accidents,1939,74.7
Accidents,1940,76.0
Accidents,1941,72.7
Accidents,1942,75.6
Accidents,1943,82.1
Accidents,1944,77.0
Accidents,1945,74.9
Accidents,1946,69.4
Accidents,1947,69.9
Accidents,1948,68.6
Accidents,1949,57.6
Accidents,1950,78.4
Accidents,1951,79.7
Accidents,1952,78.0
Accidents,1953,75.4
Accidents,1954,69.9
Accidents,1955,70.9
Accidents,1956,70.2
Accidents,1957,69.1
Accidents,1958,63.6
Accidents,1959,63.2
Accidents,1960,63.1
Accidents,1961,60.6
Accidents,1962,62.9
Accidents,1963,64.0
Accidents,1964,64.1
Accidents,1965,65.8
Accidents,1966,67.6
Accidents,1967,66.2
Accidents,1968,65.5
Accidents,1969,64.9
Accidents,1970,62.2
Accidents,1971,60.3
Accidents,1972,60.2
Accidents,1973,59.3
Accidents,1974,52.7
Accidents,1975,50.8
Accidents,1976,48.7
Accidents,1977,48.8
Accidents,1978,48.9
Accidents,1979,46.5
Accidents,1980,46.4
Accidents,1981,43.4
Accidents,1982,40.1
Accidents,1983,39.1
Accidents,1984,38.8
Accidents,1985,38.5
Accidents,1986,38.6
Accidents,1987,38.2
Accidents,1988,38.9
Accidents,1989,37.7
Accidents,1990,36.2
Accidents,1991,34.7
Accidents,1992,33.2
Accidents,1993,34.2
Accidents,1994,34.2
Accidents,1995,34.4
Accidents,1996,34.5
Accidents,1997,34.2
Accidents,1998,34.5
Accidents,1999,35.3
Accidents,2000,34.9
Accidents,2001,35.7
Accidents,2002,37.1
Accidents,2003,37.6
Accidents,2004,38.1
Accidents,2005,39.5
Accidents,2006,40.2
Accidents,2007,40.4
Accidents,2008,39.2
Accidents,2009,37.5
Accidents,2010,38.0
Accidents,2011,39.1
Accidents,2012,39.1
Accidents,2013,39.4
Influenza and Pneumonia,1900,297.5
Influenza and Pneumonia,1901,312.9
Influenza and Pneumonia,1902,219.3
Influenza and Pneumonia,1903,251.1
Influenza and Pneumonia,1904,291.2
Influenza and Pneumonia,1905,257.8
Influenza and Pneumonia,1906,222.5
Influenza and Pneumonia,1907,285.4
Influenza and Pneumonia,1908,234.6
Influenza and Pneumonia,1909,221.2
Influenza and Pneumonia,1910,238.4
Influenza and Pneumonia,1911,234.1
Influenza and Pneumonia,1912,213.7
Influenza and Pneumonia,1913,214.8
Influenza and Pneumonia,1914,202.4
Influenza and Pneumonia,1915,238.1
Influenza and Pneumonia,1916,278.5
Influenza and Pneumonia,1917,267.0
Influenza and Pneumonia,1918,612.4
Influenza and Pneumonia,1919,270.9
Influenza and Pneumonia,1920,279.2
Influenza and Pneumonia,1921,153.1
Influenza and Pneumonia,1922,207.6
Influenza and Pneumonia,1923,253.0
Influenza and Pneumonia,1924,182.0
Influenza and Pneumonia,1925,198.1
Influenza and Pneumonia,1926,233.0
Influenza and Pneumonia,1927,164.0
Influenza and Pneumonia,1928,236.4
Influenza and Pneumonia,1929,247.5
Influenza and Pneumonia,1930,159.8
Influenza and Pneumonia,1931,170.2
Influenza and Pneumonia,1932,180.0
Influenza and Pneumonia,1933,156.5
Influenza and Pneumonia,1934,152.9
Influenza and Pneumonia,1935,163.8
Influenza and Pneumonia,1936,186.7
Influenza and Pneumonia,1937,181.8
Influenza and Pneumonia,1938,124.3
Influenza and Pneumonia,1939,124.4
Influenza and Pneumonia,1940,117.6
Influenza and Pneumonia,1941,104.6
Influenza and Pneumonia,1942,84.7
Influenza and Pneumonia,1943,101.7
Influenza and Pneumonia,1944,94.7
Influenza and Pneumonia,1945,74.9
Influenza and Pneumonia,1946,69.9
Influenza and Pneumonia,1947,65.9
Influenza and Pneumonia,1948,58.0
Influenza and Pneumonia,1949,45.1
Influenza and Pneumonia,1950,48.1
Influenza and Pneumonia,1951,47.4
Influenza and Pneumonia,1952,43.1
Influenza and Pneumonia,1953,49.2
Influenza and Pneumonia,1954,36.2
Influenza and Pneumonia,1955,39.2
Influenza and Pneumonia,1956,40.8
Influenza and Pneumonia,1957,50.3
Influenza and Pneumonia,1958,47.4
Influenza and Pneumonia,1959,44.3
Influenza and Pneumonia,1960,53.7
Influenza and Pneumonia,1961,43.4
Influenza and Pneumonia,1962,47.1
Influenza and Pneumonia,1963,55.6
Influenza and Pneumonia,1964,45.4
Influenza and Pneumonia,1965,46.8
Influenza and Pneumonia,1966,47.9
Influenza and Pneumonia,1967,42.2
Influenza and Pneumonia,1968,52.8
Influenza and Pneumonia,1969,47.9
Influenza and Pneumonia,1970,41.7
Influenza and Pneumonia,1971,38.4
Influenza and Pneumonia,1972,41.3
Influenza and Pneumonia,1973,41.2
Influenza and Pneumonia,1974,35.5
Influenza and Pneumonia,1975,34.9
Influenza and Pneumonia,1976,38.8
Influenza and Pneumonia,1977,31.0
Influenza and Pneumonia,1978,34.5
Influenza and Pneumonia,1979,26.1
Influenza and Pneumonia,1980,31.4
Influenza and Pneumonia,1981,30.0
Influenza and Pneumonia,1982,26.5
Influenza and Pneumonia,1983,29.8
Influenza and Pneumonia,1984,30.6
Influenza and Pneumonia,1985,34.5
Influenza and Pneumonia,1986,34.8
Influenza and Pneumonia,1987,33.8
Influenza and Pneumonia,1988,37.3
Influenza and Pneumonia,1989,35.9
Influenza and Pneumonia,1990,36.8
Influenza and Pneumonia,1991,34.9
Influenza and Pneumonia,1992,33.1
Influenza and Pneumonia,1993,35.2
Influenza and Pneumonia,1994,33.9
Influenza and Pneumonia,1995,33.8
Influenza and Pneumonia,1996,33.2
Influenza and Pneumonia,1997,33.6
Influenza and Pneumonia,1998,34.6
Influenza and Pneumonia,1999,23.5
Influenza and Pneumonia,2000,23.7
Influenza and Pneumonia,2001,22.2
Influenza and Pneumonia,2002,23.2
Influenza and Pneumonia,2003,22.6
Influenza and Pneumonia,2004,20.4
Influenza and Pneumonia,2005,21.0
Influenza and Pneumonia,2006,18.4
Influenza and Pneumonia,2007,16.8
Influenza and Pneumonia,2008,17.6
Influenza and Pneumonia,2009,16.5
Influenza and Pneumonia,2010,15.1
Influenza and Pneumonia,2011,15.7
Influenza and Pneumonia,2012,14.5
Influenza and Pneumonia,2013,15.9
